,Poids (%),Rendement cumulé actif (%),Rendement annualisé actif (%),Volatilité annualisée (%),Contribution cumulée (%),Contribution annualisée (%)
NVDA,2.86,28357.37,56.64,48.22,810.211,1.618
AMD,2.86,4485.77,38.35,57.73,128.165,1.096
TSLA,2.86,2754.93,33.6,57.01,78.712,0.96
AMZN,2.86,1334.59,26.7,32.66,38.131,0.763
LLY,2.86,1236.39,25.99,27.65,35.325,0.742
MSFT,2.86,958.04,23.65,27.13,27.373,0.676
AAPL,2.86,935.85,23.43,28.47,26.739,0.67
META,2.86,656.53,20.28,37.86,18.758,0.58
GOOGL,2.86,624.89,19.86,28.42,17.854,0.567
UNH,2.86,486.64,17.73,26.2,13.904,0.507
CRM,2.86,469.91,17.44,34.9,13.426,0.498
CAT,2.86,415.88,16.45,29.82,11.882,0.47
JPM,2.86,401.61,16.17,27.32,11.475,0.462
HD,2.86,375.53,15.63,24.57,10.729,0.447
MS,2.86,325.99,14.53,31.29,9.314,0.415
ABBV,2.86,304.47,14.01,26.86,8.699,0.4
WMT,2.86,286.37,13.55,21.13,8.182,0.387
BLK,2.86,271.21,13.15,27.2,7.749,0.376
AXP,2.86,270.17,13.12,30.68,7.719,0.375
GS,2.86,259.45,12.82,28.82,7.413,0.366
NEE,2.86,247.38,12.48,24.4,7.068,0.357
PLD,2.86,223.33,11.76,26.51,6.381,0.336
BAC,2.86,202.15,11.08,31.08,5.776,0.317
HON,2.86,191.59,10.73,22.77,5.474,0.306
PG,2.86,144.73,8.97,18.46,4.135,0.256
MRK,2.86,144.54,8.96,21.61,4.13,0.256
KO,2.86,102.3,7.06,17.87,2.923,0.202
CVX,2.86,94.75,6.68,29.76,2.707,0.191
JNJ,2.86,80.73,5.93,18.08,2.307,0.17
NKE,2.86,76.25,5.68,29.82,2.179,0.162
XOM,2.86,76.14,5.67,27.79,2.175,0.162
UPS,2.86,57.59,4.56,25.64,1.646,0.13
BA,2.86,55.34,4.41,40.4,1.581,0.126
PFE,2.86,31.83,2.77,23.2,0.909,0.079
INTC,2.86,-28.95,-3.43,36.14,-0.827,-0.098
