,max_drawdown
AAPL,-0.3142727987933946
ABBV,-0.340423279467604
AMD,-0.3427844128753608
AMZN,-0.22744701905130285
AXP,-0.4963849786767532
BA,-0.7249236475234283
BAC,-0.47894142697538317
BLK,-0.42372789446036024
CAT,-0.34261393514082533
CRM,-0.35715764195227223
CVX,-0.5104095366296638
GOOGL,-0.30870822478484294
GS,-0.44414564053123123
HD,-0.37993717273846145
HON,-0.4236551089468263
INTC,-0.3387193789514772
JNJ,-0.273662441363449
JPM,-0.42731909680433944
KO,-0.36987522220046565
LLY,-0.18787211704919818
META,-0.32961438368559554
MRK,-0.24232085127988828
MS,-0.5061268430840581
MSFT,-0.28039274108052314
NEE,-0.3563176379340765
NKE,-0.39178830751776383
NVDA,-0.37554037529899953
PFE,-0.2553580454122256
PG,-0.23155595742575144
PLD,-0.3616496366153788
TSLA,-0.6062653853820685
UNH,-0.3589990183448539
UPS,-0.18486495420265733
WMT,-0.13139681124871852
XOM,-0.49144735009909296
