Ticker,max_drawdown
AAPL,-0.5988304264166883
AXP,-0.7964835008166407
BA,-0.6547231999416407
BAC,-0.9243767840657449
CAT,-0.7329876060805324
CVX,-0.43827799024883535
GOOGL,-0.6243562207937572
GS,-0.7480161126261634
HD,-0.39678413365445037
HON,-0.617124734870424
INTC,-0.5054385812661838
JNJ,-0.3439915100595374
JPM,-0.6771521965264771
KO,-0.4059537727442072
MRK,-0.6316807605168508
MS,-0.8174550436863239
MSFT,-0.5607758800113835
NEE,-0.4742830765774986
NKE,-0.44154812376209623
PFE,-0.4728165805155711
PG,-0.38791064142024867
UPS,-0.4703565019629533
WMT,-0.261978464317652
XOM,-0.3372627110591249
