Ticker,Max Drawdown (%),Date Pic,Date Creux,Duree Chute (jours),Date Recuperation,Duree Recup (jours),Statut
BA,-77.92,2019-03-01,2020-03-20,385,N/A,N/A,Pas encore recupere
META,-76.74,2021-09-07,2022-11-03,422,2024-01-19,442,Recupere
NKE,-74.64,2021-11-05,2026-05-15,1652,N/A,N/A,Pas encore recupere
TSLA,-73.63,2021-11-04,2023-01-03,425,2024-12-11,708,Recupere
INTC,-70.8,2021-04-09,2025-04-08,1460,2026-04-10,367,Recupere
NVDA,-66.34,2021-11-29,2022-10-14,319,2023-05-25,223,Recupere
AMD,-65.45,2021-11-29,2022-10-14,319,2024-01-18,461,Recupere
UNH,-61.39,2024-11-11,2025-08-01,263,N/A,N/A,Pas encore recupere
XOM,-61.34,2016-07-15,2020-03-23,1347,2022-01-18,666,Recupere
PFE,-58.96,2021-12-16,2025-04-10,1211,N/A,N/A,Pas encore recupere
CRM,-58.62,2021-11-08,2022-12-16,403,2024-03-01,441,Recupere
UPS,-57.92,2022-02-02,2025-09-25,1331,N/A,N/A,Pas encore recupere
AMZN,-56.15,2021-07-08,2022-12-28,538,2024-04-11,470,Recupere
CVX,-55.77,2019-07-24,2020-03-23,243,2021-10-20,576,Recupere
MS,-51.33,2020-01-17,2020-03-23,66,2020-11-09,231,Recupere
AXP,-49.64,2020-02-19,2020-03-23,33,2021-02-22,336,Recupere
BAC,-48.95,2020-01-02,2020-03-23,81,2021-02-22,336,Recupere
GS,-48.75,2018-03-12,2020-03-23,742,2020-12-28,280,Recupere
ABBV,-45.09,2018-01-26,2019-08-15,566,2020-12-04,477,Recupere
NEE,-44.97,2021-12-31,2023-10-09,647,2025-10-14,736,Recupere
GOOGL,-44.32,2021-11-18,2022-11-03,350,2024-01-25,448,Recupere
BLK,-43.9,2021-11-12,2022-10-12,334,2024-09-17,706,Recupere
JPM,-43.63,2020-01-02,2020-03-23,81,2021-01-07,290,Recupere
MRK,-43.44,2024-06-24,2025-05-14,324,N/A,N/A,Pas encore recupere
CAT,-43.36,2018-01-22,2020-03-23,791,2020-10-12,203,Recupere
PLD,-43.3,2022-04-28,2025-04-08,1076,N/A,N/A,Pas encore recupere
HON,-43.01,2020-01-17,2020-03-23,66,2020-11-05,227,Recupere
AAPL,-38.52,2018-10-03,2019-01-03,92,2019-10-10,280,Recupere
HD,-37.99,2020-02-20,2020-03-20,29,2020-05-27,68,Recupere
MSFT,-37.15,2021-11-19,2022-11-03,349,2023-06-15,224,Recupere
KO,-36.99,2020-02-21,2020-03-23,31,2021-07-27,491,Recupere
WMT,-36.44,2015-01-08,2015-11-13,309,2017-10-10,697,Recupere
LLY,-34.48,2024-08-30,2025-08-08,343,2025-11-10,94,Recupere
JNJ,-27.37,2020-02-05,2020-03-23,47,2020-04-23,31,Recupere
PG,-24.5,2015-01-22,2015-09-14,235,2016-08-18,339,Recupere
