,max_drawdown
AAPL,-0.30349140763456844
ABBV,-0.21915469151054293
AMD,-0.6276624295700374
AMZN,-0.5198483491885323
AXP,-0.31545886909872733
BA,-0.4872543938403
BAC,-0.3866727039305594
BLK,-0.40855267391724087
CAT,-0.30085141385544817
CRM,-0.4978862330158533
CVX,-0.24948922528499437
GOOGL,-0.4362838669950737
GS,-0.3050876429220835
HD,-0.3420129276059543
HON,-0.2271189957194983
INTC,-0.5405666492292606
JNJ,-0.12739774754444622
JPM,-0.3792953122439124
KO,-0.16655523020187374
LLY,-0.13270635306189443
META,-0.7373722642392921
MRK,-0.10756348687997762
MS,-0.323774011056864
MSFT,-0.3557884552667944
NEE,-0.24842428253640694
NKE,-0.49662864172411547
NVDA,-0.6270168770916924
PFE,-0.24608255191076714
PG,-0.23772451988123658
PLD,-0.42058689373267427
TSLA,-0.7271999902020608
UNH,-0.16911392538921144
UPS,-0.2982510588564053
WMT,-0.2573968674433442
XOM,-0.205086515259262
