,Jours sous l'eau,% du temps sous l'eau
UPS,2798,97.3
INTC,2787,96.9
PFE,2782,96.7
XOM,2770,96.3
TSLA,2764,96.1
BA,2747,95.5
CVX,2740,95.2
NKE,2724,94.7
MRK,2722,94.6
CRM,2711,94.2
AMD,2709,94.2
BAC,2709,94.2
BLK,2698,93.8
KO,2698,93.8
PG,2695,93.7
GS,2693,93.6
HON,2685,93.3
ABBV,2682,93.2
JNJ,2681,93.2
META,2681,93.2
AXP,2677,93.0
MS,2673,92.9
WMT,2656,92.3
CAT,2655,92.3
HD,2651,92.1
UNH,2638,91.7
AMZN,2638,91.7
PLD,2636,91.6
AAPL,2618,91.0
NEE,2615,90.9
LLY,2615,90.9
GOOGL,2608,90.6
JPM,2607,90.6
MSFT,2559,88.9
NVDA,2531,88.0
