,Rdt cumulé COVID (%),Rdt cumulé 2022 (%),Vol COVID (%),Vol 2022 (%)
AAPL,-4.85,-26.4,70.47,35.63
ABBV,2.97,24.01,56.73,22.49
AMD,11.47,-54.99,85.51,61.32
AMZN,23.16,-49.62,49.0,50.13
AXP,-29.35,-8.52,102.25,35.66
BA,-55.43,-5.38,139.58,46.99
BAC,-26.28,-23.82,93.53,32.36
BLK,-4.08,-20.4,84.37,36.53
CAT,-10.58,18.6,69.29,33.51
CRM,-11.17,-47.83,71.27,47.22
CVX,-13.13,58.46,105.67,32.92
GOOGL,-6.01,-39.09,62.62,38.67
GS,-22.38,-7.87,84.44,29.58
HD,-2.98,-21.98,81.78,31.44
HON,-17.64,4.9,72.56,25.02
INTC,-5.72,-46.64,87.45,38.33
JNJ,1.43,5.97,53.89,17.36
JPM,-26.9,-12.64,88.79,29.83
KO,-20.73,10.61,57.66,19.76
LLY,11.32,34.26,60.2,27.14
META,1.39,-64.22,66.46,67.23
MRK,-6.37,49.42,53.34,19.88
MS,-23.89,-10.34,94.06,32.23
MSFT,5.56,-28.02,73.76,35.32
NEE,-13.38,-8.54,73.16,31.12
NKE,-9.22,-29.04,67.78,42.37
NVDA,23.7,-50.26,93.53,63.16
PFE,3.01,-10.41,52.39,26.93
PG,-4.79,-5.05,59.32,22.05
PLD,-3.13,-31.33,80.96,34.46
TSLA,20.18,-65.03,126.63,67.1
UNH,7.81,6.94,85.27,24.35
UPS,-7.65,-16.21,57.49,31.46
WMT,6.64,-0.46,52.59,27.09
XOM,-24.12,87.41,76.47,35.15
