,Rendement cumulé (%),Rendement annualisé (%),Volatilité annualisée (%),Sharpe,Pire jour (%),Meilleur jour (%),Skewness,Kurtosis
AAPL,-4.85,-20.21,70.47,-0.29,-13.77,11.32,-0.122,1.472
ABBV,2.97,11.89,56.73,0.21,-13.93,8.36,-0.794,3.229
AMD,11.47,44.13,85.51,0.52,-15.83,11.81,-0.483,0.873
AMZN,23.16,84.68,49.0,1.73,-8.25,6.79,-0.186,0.093
AXP,-29.35,-141.2,102.25,-1.38,-16.04,19.79,0.504,1.933
BA,-55.43,-328.44,139.58,-2.35,-27.24,21.77,-0.127,1.682
BAC,-26.28,-123.91,93.53,-1.32,-16.72,16.38,0.084,1.568
BLK,-4.08,-16.92,84.37,-0.2,-14.68,12.68,-0.124,0.538
CAT,-10.58,-45.47,69.29,-0.66,-15.41,9.83,-0.665,1.589
CRM,-11.17,-48.13,71.27,-0.68,-17.3,9.4,-0.785,2.756
CVX,-13.13,-57.2,105.67,-0.54,-25.01,20.49,-0.803,4.235
GOOGL,-6.01,-25.18,62.62,-0.4,-12.37,8.84,-0.201,0.99
GS,-22.38,-102.97,84.44,-1.22,-13.59,16.2,0.083,1.843
HD,-2.98,-12.3,81.78,-0.15,-22.06,12.88,-1.211,4.981
HON,-17.64,-78.87,72.56,-1.09,-12.88,14.04,0.115,1.643
INTC,-5.72,-23.93,87.45,-0.27,-19.9,17.83,-0.139,3.383
JNJ,1.43,5.77,53.89,0.11,-7.58,7.69,0.207,0.267
JPM,-26.9,-127.36,88.79,-1.43,-16.21,16.56,0.029,1.561
KO,-20.73,-94.43,57.66,-1.64,-10.17,6.28,-0.347,0.089
LLY,11.32,43.57,60.2,0.72,-10.53,10.15,0.208,1.931
META,1.39,5.6,66.46,0.08,-15.38,9.74,-0.603,2.351
MRK,-6.37,-26.76,53.34,-0.5,-9.32,7.5,0.026,0.435
MS,-23.89,-110.94,94.06,-1.18,-16.96,18.04,0.24,2.879
MSFT,5.56,22.0,73.76,0.3,-15.95,13.29,-0.254,2.108
NEE,-13.38,-58.36,73.16,-0.8,-14.41,12.83,0.007,1.631
NKE,-9.22,-39.31,67.78,-0.58,-12.41,14.13,0.063,2.583
NVDA,23.7,86.44,93.53,0.92,-20.4,15.83,-0.512,1.926
PFE,3.01,12.04,52.39,0.23,-8.05,8.58,0.018,0.537
PG,-4.79,-19.93,59.32,-0.34,-9.14,11.34,0.219,1.196
PLD,-3.13,-12.92,80.96,-0.16,-18.96,11.16,-0.614,2.437
TSLA,20.18,74.73,126.63,0.59,-20.55,18.14,-0.341,0.715
UNH,7.81,30.58,85.27,0.36,-18.97,12.04,-0.568,1.949
UPS,-7.65,-32.36,57.49,-0.56,-7.91,10.59,0.515,0.805
WMT,6.64,26.12,52.59,0.5,-9.51,11.07,0.535,2.699
XOM,-24.12,-112.18,76.47,-1.47,-13.04,11.94,-0.199,0.726
