Ticker,Rendement cumulé (%),Rendement annualisé (%),Volatilité annualisée (%),Sharpe,Pire jour (%),Meilleur jour (%),Skewness,Kurtosis
AAPL,-28.33,-22.32,53.82,-0.41,-19.75,13.02,-0.437,3.499
AXP,-52.05,-49.26,82.08,-0.6,-19.35,18.77,0.189,1.724
BA,-49.09,-45.25,48.11,-0.94,-8.04,14.38,0.312,1.949
BAC,-65.3,-70.94,127.09,-0.56,-34.21,30.21,-0.056,3.405
CAT,-49.68,-46.03,54.76,-0.84,-12.14,13.73,0.188,2.047
CVX,-24.76,-19.06,49.62,-0.38,-13.34,18.94,0.325,6.778
GOOGL,-38.66,-32.76,49.97,-0.66,-12.34,18.23,0.555,4.701
GS,-29.38,-23.32,79.12,-0.29,-21.02,23.48,0.427,4.321
HD,-6.11,-4.22,50.02,-0.08,-8.58,13.16,0.531,1.179
HON,-45.36,-40.5,47.02,-0.86,-9.88,11.11,0.088,1.175
INTC,-35.69,-29.59,50.86,-0.58,-13.22,11.2,-0.051,1.53
JNJ,-10.63,-7.53,27.24,-0.28,-7.97,11.54,0.704,8.637
JPM,-16.7,-12.25,92.6,-0.13,-23.23,22.39,0.277,2.544
KO,-17.48,-12.88,33.14,-0.39,-9.07,13.0,0.773,6.361
MRK,-48.37,-44.3,48.1,-0.92,-15.94,11.91,-0.391,4.14
MS,-42.5,-37.09,121.01,-0.31,-29.97,62.58,1.203,14.342
MSFT,-30.84,-24.71,47.71,-0.52,-12.46,17.06,0.412,4.113
NEE,-10.79,-7.66,43.18,-0.18,-12.5,13.05,0.601,4.712
NKE,-17.33,-12.75,48.02,-0.27,-12.6,11.88,0.175,2.309
PFE,-26.08,-20.25,38.3,-0.53,-10.89,9.69,-0.024,2.908
PG,-26.04,-20.21,30.19,-0.67,-8.23,9.73,-0.043,3.518
UPS,-25.36,-19.61,40.18,-0.49,-8.88,8.94,0.078,1.475
WMT,5.53,3.61,32.01,0.11,-8.41,10.5,0.24,3.931
XOM,-22.33,-16.93,45.74,-0.37,-15.03,15.86,0.238,7.063
