,Rendement cumulé (%),Rendement annualisé (%),Volatilité annualisée (%),Sharpe,Pire jour (%),Meilleur jour (%),Skewness,Kurtosis
AAPL,-26.4,-30.78,35.63,-0.86,-6.05,8.52,0.22,0.882
ABBV,24.01,21.6,22.49,0.96,-6.22,3.68,-0.809,2.852
AMD,-54.99,-80.15,61.32,-1.31,-14.93,13.34,-0.093,0.802
AMZN,-49.62,-68.82,50.13,-1.37,-15.14,12.69,0.006,3.058
AXP,-8.52,-8.94,35.66,-0.25,-8.85,8.55,-0.14,1.645
BA,-5.38,-5.55,46.99,-0.12,-11.06,9.04,-0.351,1.136
BAC,-23.82,-27.32,32.36,-0.84,-6.59,6.8,0.438,0.997
BLK,-20.4,-22.9,36.53,-0.63,-7.74,12.64,0.628,3.62
CAT,18.6,17.13,33.51,0.51,-6.77,7.42,0.059,1.43
CRM,-47.83,-65.32,47.22,-1.38,-8.65,9.55,0.126,0.609
CVX,58.46,46.22,32.92,1.4,-6.94,8.53,-0.222,1.514
GOOGL,-39.09,-49.77,38.67,-1.29,-9.59,7.38,0.078,0.965
GS,-7.87,-8.23,29.58,-0.28,-7.22,5.63,0.03,1.141
HD,-21.98,-24.91,31.44,-0.79,-9.27,8.34,-0.344,2.683
HON,4.9,4.81,25.02,0.19,-7.92,4.37,-0.375,2.208
INTC,-46.64,-63.07,38.33,-1.65,-8.95,10.13,0.099,2.165
JNJ,5.97,5.83,17.36,0.34,-3.04,4.85,0.393,1.301
JPM,-12.64,-13.57,29.83,-0.45,-6.34,6.0,0.177,0.708
KO,10.61,10.12,19.76,0.51,-7.22,3.79,-0.781,4.663
LLY,34.26,29.57,27.14,1.09,-4.56,7.22,0.351,0.821
META,-64.22,-103.19,67.23,-1.53,-30.64,16.21,-2.313,17.183
MRK,49.42,40.32,19.88,2.03,-3.93,4.82,0.16,1.435
MS,-10.34,-10.96,32.23,-0.34,-5.2,6.21,0.118,0.278
MSFT,-28.02,-33.02,35.32,-0.93,-8.03,7.91,0.054,0.84
NEE,-8.54,-8.97,31.12,-0.29,-8.69,7.47,-0.046,2.5
NKE,-29.04,-34.44,42.37,-0.81,-13.71,11.49,-0.152,3.462
NVDA,-50.26,-70.12,63.16,-1.11,-9.95,13.39,0.124,0.012
PFE,-10.41,-11.03,26.93,-0.41,-4.21,4.64,0.153,-0.027
PG,-5.05,-5.2,22.05,-0.24,-6.43,4.18,-0.621,3.114
PLD,-31.33,-37.73,34.46,-1.09,-7.81,8.41,-0.152,1.624
TSLA,-65.03,-105.49,67.1,-1.57,-12.99,12.69,-0.174,0.374
UNH,6.94,6.73,24.35,0.28,-4.39,6.06,0.075,1.098
UPS,-16.21,-17.76,31.46,-0.56,-6.14,13.18,0.918,7.601
WMT,-0.46,-0.47,27.09,-0.02,-12.08,6.33,-1.737,12.429
XOM,87.41,63.06,35.15,1.79,-8.21,6.21,-0.422,0.798
